prod_id,img_id,image_name,content
1324,11242,1324-11242-large_default-balade-montgolfiere.jpg,"((0.9995123744010924, 'balloon'), (0.0004630088806152344, 'parachute, chute'), (1.4269758139562326e-05, 'airship, dirigible'), (9.064118557944313e-07, 'lakeside, lakeshore'), (8.173542482836638e-07, 'water tower'), (5.842420591761766e-07, 'alp'), (4.330618708081601e-07, 'valley, vale'), (4.1403922068639076e-07, 'container ship, containership, container vessel'), (4.0498525777366007e-07, 'radio telescope, radio reflector'), (3.5498544548318023e-07, 'seashore, coast, seacoast, sea-coast'))"
1244,10653,1244-10653-large_default-carnet-de-projets.jpg,"((0.6425856351852417, 'envelope'), (0.08649652451276779, 'binder, ring-binder'), (0.04461900144815445, 'carton'), (0.03263464942574501, 'book jacket, dust cover, dust jacket, dust wrapper'), (0.023958086967468258, 'hard disc, hard disk, fixed disk'), (0.01602489501237869, 'notebook, notebook computer'), (0.0148357218131423, 'iPod'), (0.013102920725941658, 'desk'), (0.011029536835849285, 'face powder'), (0.01070451643317938, 'rule, ruler'))"
1828,14528,1828-14528-large_default-sac-a-dos-rucksack-rains.jpg,"((0.4265766441822052, 'seat belt, seatbelt'), (0.3691368103027344, 'mailbag, postbag'), (0.08162558078765869, 'scabbard'), (0.06536738574504852, 'purse'), (0.01642647199332714, 'buckle'), (0.009872726164758205, 'binder, ring-binder'), (0.008948667906224728, 'backpack, back pack, knapsack, packsack, rucksack, haversack'), (0.007287346292287111, 'wallet, billfold, notecase, pocketbook'), (0.002809734083712101, 'ballpoint, ballpoint pen, ballpen, Biro'), (0.0017039249651134016, 'holster'))"
1726,13635,1726-13635-large_default-echarpe-piano.jpg,"((0.5050091147422789, 'drumstick'), (0.12685464322566986, 'shovel'), (0.06528154760599136, 'shoji'), (0.05155943334102631, 'crib, cot'), (0.037595268338918686, ""plunger, plumber's helper""), (0.02953564189374447, 'wooden spoon'), (0.025630144402384758, 'croquet ball'), (0.022249918431043625, 'matchstick'), (0.014245922677218912, 'flagpole, flagstaff'), (0.013704692013561727, 'quilt, comforter, comfort, puff'))"
382,12961,382-12961-large_default-sac-a-dos-impermeable-homme-rains.jpg,"((0.2975047826766968, 'lighter, light, igniter, ignitor'), (0.15846353769302368, 'refrigerator, icebox'), (0.11761196702718735, 'mailbag, postbag'), (0.09141957014799118, 'buckle'), (0.04128851369023323, 'shield, buckler'), (0.03143168240785599, 'letter opener, paper knife, paperknife'), (0.03092367015779018, 'binder, ring-binder'), (0.027012107893824574, ""carpenter's kit, tool kit""), (0.025030286982655525, 'purse'), (0.015270365402102469, 'backpack, back pack, knapsack, packsack, rucksack, haversack'))"
1437,11938,1437-11938-large_default-gin-isle-of-harris.jpg,"((0.41182392835617065, 'water bottle'), (0.3283534348011017, 'perfume, essence'), (0.04948335886001587, 'saltshaker, salt shaker'), (0.03083858266472816, 'soap dispenser'), (0.025435244664549828, 'packet'), (0.017052249982953068, 'chainlink fence'), (0.01639923825860024, 'lotion'), (0.012009329162538052, 'pill bottle'), (0.0076218387112021455, 'wine bottle'), (0.006989784538745879, 'beaker'))"
1521,12344,1521-12344-large_default-rasoir-en-bois.jpg,"((0.382598489522934, 'hammer'), (0.22704124450683594, 'wooden spoon'), (0.18804672360420227, 'reel'), (0.04602384567260742, 'ladle'), (0.021526655182242397, 'hatchet'), (0.011055249720811844, 'maraca'), (0.008649266324937344, 'can opener, tin opener'), (0.008022637106478214, 'waffle iron'), (0.007330123335123062, 'pencil sharpener'), (0.0068839555606246, 'spatula'))"
1128,13515,1128-13515-large_default-rendez-vous-pour-creer-votre-creme-sur-mesure.jpg,"((0.9926732182502748, ""loupe, jeweler's loupe""), (0.004101987928152084, 'face powder'), (0.0007840145262889563, 'stethoscope'), (0.0007213084609247744, 'magnetic compass'), (0.00020239119476173076, 'reflex camera'), (0.00019937467004638165, 'lens cap, lens cover'), (0.00016828095249366015, 'switch, electric switch, electrical switch'), (0.0001338716974714771, 'lotion'), (0.00010259778355248271, 'lipstick, lip rouge'), (7.452652789652348e-05, 'pill bottle'))"
1374,11844,1374-11844-large_default-rhum-rumbullion.jpg,"((0.3202725052833557, 'perfume, essence'), (0.266773134469986, 'whiskey jug'), (0.11468146741390227, 'lotion'), (0.0845494419336319, 'wine bottle'), (0.05372229591012001, 'medicine chest, medicine cabinet'), (0.03071748092770576, 'cocktail shaker'), (0.026178136467933655, 'hair spray'), (0.021872922778129574, 'pill bottle'), (0.015116408467292787, 'red wine'), (0.01203908771276474, 'quill, quill pen'))"
1627,13357,1627-13357-large_default-set-de-trois-portes-cables-en-cuir-recycle.jpg,"((0.573192298412323, 'scabbard'), (0.14760439097881314, 'buckle'), (0.06799823045730591, 'combination lock'), (0.018493115901947018, 'hook, claw'), (0.016828414052724838, 'switch, electric switch, electrical switch'), (0.015162966214120388, 'sandal'), (0.013260092586278915, 'modem'), (0.01026949193328619, 'muzzle'), (0.008224290795624256, 'oxygen mask'), (0.005628953687846661, 'holster'))"
552,13552,552-13552-large_default-horloge-des-marees.jpg,"((0.2860293984413147, 'barometer'), (0.23045989871025085, 'analog clock'), (0.13867442309856415, 'wall clock'), (0.04442298412322998, 'barbell'), (0.02862938307225704, 'face powder'), (0.01861024647951126, 'measuring cup'), (0.018183492124080658, 'puck, hockey puck'), (0.014022927731275558, 'matchstick'), (0.01309000514447689, 'gong, tam-tam'), (0.010542602278292179, 'odometer, hodometer, mileometer, milometer'))"
1606,13229,1606-13229-large_default-gants-en-cuir-et-flanelle-by-dents.jpg,"((0.2725621163845062, 'mailbag, postbag'), (0.1871929317712784, 'purse'), (0.16674485802650452, 'holster'), (0.08172973245382309, 'pencil box, pencil case'), (0.08070817589759828, 'scabbard'), (0.05065073445439339, 'jean, blue jean, denim'), (0.031171252951025963, 'buckle'), (0.015880715101957318, 'wallet, billfold, notecase, pocketbook'), (0.014631255529820919, 'backpack, back pack, knapsack, packsack, rucksack, haversack'), (0.011746727861464024, 'wool, woolen, woollen'))"
1271,10752,1271-10752-large_default-tasse-helen-b.jpg,"((0.7689175605773926, 'cup'), (0.2140287458896637, 'coffee mug'), (0.007941567339003086, 'espresso'), (0.0010835550492629409, 'espresso maker'), (0.001033544191159308, 'mask'), (0.001004055142402649, 'pitcher, ewer'), (0.000842208508402109, 'pick, plectrum, plectron'), (0.0007583654369227588, 'whiskey jug'), (0.0006972604896873237, 'coffeepot'), (0.0006235958426259457, 'water jug'))"
1215,10321,1215-10321-large_default-affiche-50-choses-a-faire-dans-une-vie.jpg,"((0.10647683590650557, 'wine bottle'), (0.08347994834184648, 'perfume, essence'), (0.07519897818565369, 'restaurant, eating house, eating place, eatery'), (0.06540623307228087, 'dining table, board'), (0.052047349512577064, 'tray'), (0.043488286435604095, 'altar'), (0.033590566366910934, 'beaker'), (0.031632352620363235, 'cocktail shaker'), (0.022978836670517918, 'wall clock'), (0.01944884099066257, 'corkscrew, bottle screw'))"
1555,13053,1555-13053-large_default-livre-slow-train-30-echappees-ferroviaires.jpg,"((0.2846017479896545, 'web site, website, internet site, site'), (0.23824265599250796, 'envelope'), (0.08601906895637512, 'binder, ring-binder'), (0.07788997888565062, 'comic book'), (0.053504567593336105, 'packet'), (0.043698485940694816, 'Band Aid'), (0.037163447588682175, 'book jacket, dust cover, dust jacket, dust wrapper'), (0.020622676238417625, 'carton'), (0.009443658404052258, 'paintbrush'), (0.0075789750553667545, 'refrigerator, icebox'))"
